kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
STTP;PT Siantar Top Tbk;5. Consumer Goods Industry;51. Food And Beverages;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;940212374995.0;1402220068201.0;2342432443196.0;358963437494.0;598696937342.0;957660374836.0;131000000000.0;None;1347146100.0;1372212563068.0;1384772068360.0;2342432443196.0;613459658888.0;216024079834.0;215838898689.0;216180618198.0;216365799343.0;-341719509.0
HRUM;Harum Energy Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;314799790.0;144643281.0;459443071.0;55354920.0;8227429.0;63582349.0;28877151.0;None;112772500.0;315296802.0;395860722.0;459443071.0;111886648.0;55748001.0;54979076.0;44431120.0;45278605.0;10469396.0
INRU;Toba Pulp Lestari Tbk;3. Basic Industry And Chemicals;38. Pulp & Paper;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Ribuan / In Thousand;41305.0;298761.0;340066.0;27582.0;147187.0;174769.0;336085.0;None;354994.0;165297.0;165297.0;340066.0;17669.0;28455.0;28024.0;28024.0;28455.0;None
ISAT;PT Indosat Tbk;7. Infrastructure, Utilities And Transportation;73. Telecommunication;Foreign Corporation;Foreign Company;31/12/18;Rupiah / IDR;None;Jutaan / In Million;9479271.0;41181769.0;50661040.0;16200457.0;19645049.0;35845506.0;543393.0;None;1546587.0;13996976.0;14815534.0;50661040.0;None;1301929.0;1198432.0;1033561.0;1135783.0;166146.0
POLL;PT Pollux Properti Indonesia Tbk.;6. Property, Real Estate And Building Construction;61. Property And Real Estate;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;833558371609.0;2478963017371.0;3312521388980.0;1277420481534.0;949742615790.0;2227163097324.0;707100000000.0;00.00;165850000.0;877041799462.0;1085358291656.0;3312521388980.0;219819303055.0;100075582681.0;99966763687.0;60677320285.0;60786395366.0;39289187315.0
KARW;ICTSI JASA PRIMA Tbk;7. Infrastructure, Utilities And Transportation;72. Toll Road, Airport, Harbor And Allied Products;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Dollar Amerika / USD;14481.0;Satuan Penuh / Full Amount;5998669.0;19423564.0;25422233.0;59541767.0;20683.0;59562450.0;32299115.0;None;605107.0;-34142577.0;-34140217.0;25422233.0;3912246.0;2426813.0;2537408.0;2537108.0;2426524.0;289.00.00
SMFP;Sarana Multigriya Finansial (Persero);8. Finance;82. Financial Institution;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;01.00;Jutaan / In Million;None;None;15662583.0;None;None;7789228.0;5000000.0;None;None;7873355.0;7873355.0;15662583.0;None;397419.0;412630.0;412630.0;397419.0;None
MBTO;Martina Berto Tbk;5. Consumer Goods Industry;54. Cosmetics And Household;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;14481.0;Satuan Penuh / Full Amount;520384083342.0;260285678445.0;780669761787.0;252247858307.0;115679280937.0;367927139244.0;107000000000.0;None;214500000000.0;412741865276.0;412742622543.0;780669761787.0;375780524693.0;-24690826118.0;-28184275168.0;-28184341124.0;-24690946486.0;120368.0
SKYB;Skybee Tbk;9. Trade, Services & Investment;93. Retail Trade;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Satuan Penuh / Full Amount;3632044446.0;29494956675.0;33127001121.0;505863394.0;310537684.0;816401078.0;58500000000.0;None;62688984736.0;57092902645.0;32310600043.0;33127001121.0;7379649.0;-1716060407.0;-1716060407.0;-1691989270.0;-1691989270.0;-24071137.0
BTPS;PT Bank Tabungan Pensiunan Nasional Syariah Tbk.;8. Finance;81. Bank;National Corporation;Local Company - Indonesia Jurisdiction;31/12/18;Rupiah / IDR;None;Jutaan / In Million;None;None;9156522.0;None;None;1653828.0;693333.0;None;188456.0;2254646.0;2254646.0;None;None;670182.0;655904.0;655904.0;670182.0;None
