kode_entitas;nama_entitas;sektor;subsektor;informasi_pemegang_saham_pengendali;jenis_entitas;tanggal_akhir;mata_uang;kurs_konversi;pembulatan;jumlah_aset_lancar;jumlah_aset_tidak_lancar;jumlah_aset;jumlah_liabilitas_jangka_pendek;jumlah_liabilitas_jangka_panjang;jumlah_liabilitas;saham_biasa;saham_preferen;tambahan_modal_disetor;jumlah_ekuitas_yang_diatribusikan_kepada_pemilik_entitas_induk;jumlah_ekuitas;jumlah_liabilitas_dan_ekuitas;jumlah_laba_bruto;jumlah_laba_rugi;jumlah_laba_rugi_komprehensif;laba_rugi_komprehensif_yang_dapat_diatribusikan_ke_entitas_indu;laba_rugi_yang_dapat_diatribusikan_ke_entitas_induk;laba_rugi_yang_dapat_diatribusikan_ke_kepentingan_non_pengendal
AALI;Astra Agro Lestari Tbk;1. Agriculture;12. Plantation;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;5937890.0;21843341.0;27781231.0;1792506.0;6740931.0;8533437.0;962344.0;0;3878995.0;18752493.0;19247794.0;27781231.0;2962891.0;893779.0;467253.0;406486.0;833090.0;60689.0
ABBA;Mahaka Media Tbk;9. Trade, Services & Investment;95. Advertising, Printing And Media;Individual WNI;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;64137591087.0;157511693082.0;221649284169.0;235223369732.0;90136585445.0;325359955177.0;275512500000.0;0;-163623432582.0;-71373084119.0;-103710671008.0;221649284169.0;76544027930.0;-58331871976.0;-149827890727.0;-135814958543.0;-44896235179.0;-13435636797.0
ABDA;Asuransi Bina Dana Arta Tbk;8. Finance;84. Insurance;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;2477781648.0;0;0;1090545646.0;193316724.0;0;8109426.0;1387160106.0;1387236002.0;0;0;138190287.0;170780025.0;170794172.0;138203753.0;-13466.0
ABMM;ABM Investama Tbk;9. Trade, Services & Investment;98. Investment Company;Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;14105.0;Satuan Penuh / Full Amount;314160618.0;513076561.0;827237179.0;262691486.0;402796549.0;665488035.0;146554908.0;0;115087198.0;184937635.0;161749144.0;827237179.0;101515013.0;-37740064.0;-58459398.0;-56514571.0;-35659427.0;-2080637.0
ABSM;PT AB Sinar Mas Multifinance;8. Finance;82. Financial Institution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Ribuan / In Thousand;0;0;847098393.0;0;0;378347896.0;375000000.0;0;11740385.0;468750497.0;468750497.0;847098393.0;0;36010498.0;28585034.0;28585034.0;36010498.0;0
ACES;Ace Hardware Indonesia Tbk;9. Trade, Services & Investment;93. Retail Trade;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;5034737166320.0;2212326727974.0;7247063894294.0;844928054206.0;1179893285690.0;2024821339896.0;171500000000.0;0;440574864042.0;5207470145420.0;5222242554398.0;7247063894294.0;3659181805722.0;731310571351.0;833806976851.0;833568184512.0;733195452445.0;-1884881094.0
ACST;PT Acset Indonusa Tbk.;6. Property, Real Estate And Building Construction;62. Building Construction;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;14105.0;Jutaan / In Million;0;0;3055106.0;0;0;2731074.0;642516.0;0;1731978.0;275310.0;324032.0;3055106.0;0;-1340079.0;-1337006.0;-1319512.0;-1323209.0;-16870.0
ADES;Akasha Wira International Tbk  Tbk;5. Consumer Goods Industry;51. Food And Beverages;Foreign Corporation;Foreign Company;31/12/20;Rupiah / IDR;0;Jutaan / In Million;545239.0;413552.0;958791.0;183559.0;74724.0;258283.0;589897.0;0;5068.00.00;700508.0;700508.0;958791.0;342565.0;135789.0;135765.0;135765.0;135789.0;0
ADHI;PT Adhi Karya (Persero) Tbk.;6. Property, Real Estate And Building Construction;62. Building Construction;Indonesian Government;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;30090503386345.0;8003385240207.0;38093888626552.0;27069198362836.0;5449879816358.0;32519078179194.0;356084937600.0;0;2588833884853.0;5548266862880.0;5574810447358.0;38093888626552.0;1735713600544.0;23702652447.0;64908859504.0;65121537574.0;23976887476.0;-274235029.0
ADMF;Adira Dinamika Multi Finance Tbk;8. Finance;82. Financial Institution;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;0;0;29230513.0;0;0;21305238.0;100000.0;0;6750.00.00;7925275.0;7925275.0;29230513.0;0;1025573.0;1015111.0;1015111.0;1025573.0;0
ADMG;Polychem Indonesia Tbk;3. Basic Industry And Chemicals;34. Chemicals;National and Foreign Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;14105.0;Satuan Penuh / Full Amount;77977126.0;127787042.0;205764168.0;22365962.0;15946538.0;38312500.0;216281813.0;0;58441593.0;167463292.0;167451668.0;205764168.0;-17910587.0;-38676045.0;-40371700.0;-40363792.0;-38667944.0;-8101.0
ADRO;ADARO ENERGY Tbk;2. Mining;21. Coal Mining;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Dollar Amerika / USD;0;Ribuan / In Thousand;1731619.0;4649947.0;6381566.0;1144923.0;1284929.0;2429852.0;342940.0;0;1154494.0;3712080.0;3951714.0;6381566.0;576729.0;158505.0;99002.0;86473.0;146927.0;11578.0
AGAR;PT Asia Sejahtera Mina Tbk;9. Trade, Services & Investment;91. Wholesale (Durable & Non-Durable Goods);National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Satuan Penuh / Full Amount;123787972495.0;47338291906.0;171126264401.0;50567914794.0;14012959829.0;64580874623.0;100000000000.0;0;5008083551.0;106545389778.0;106545389778.0;171126264401.0;21417310716.0;-764674863.0;-728952529.0;-728952529.0;-764674863.0;0
AGII;PT Aneka Gas Industri Tbk.;3. Basic Industry And Chemicals;34. Chemicals;National Corporation;Local Company - Indonesia Jurisdiction;31/12/20;Rupiah / IDR;0;Jutaan / In Million;1629893.0;5491565.0;7121458.0;1615068.0;2124249.0;3739317.0;1533330.0;0;368037.0;3325610.0;3382141.0;7121458.0;933433.0;99862.0;97501.0;93987.0;96412.0;3450.00.00
